n trainingAccuracy testingAccuracy
400 0.815 0.735
600 0.8283333333333334 0.7433333333333333
800 0.8075 0.7625
1000 0.809 0.735
1200 0.7958333333333333 0.7358333333333333
1400 0.7928571428571428 0.7707142857142857
1600 0.785 0.785
1800 0.7977777777777778 0.7488888888888889
2000 0.781 0.7489059080962801
